STORMNAME,DTG,YEAR,MONTH,DAY,LAT,LON,
INVEST,2024062812,2024,6,28,9,-40,
TWO,2024062818,2024,6,28,9,-41,
BERYL,2024062900,2024,6,29,9,-43,
BERYL,2024062906,2024,6,29,10,-45,
BERYL,2024062912,2024,6,29,10,-47,
BERYL,2024062918,2024,6,29,10,-49,
BERYL,2024063000,2024,6,30,10,-50,
BERYL,2024063006,2024,6,30,10,-52,
BERYL,2024063012,2024,6,30,10,-54,
BERYL,2024063018,2024,6,30,11,-56,
BERYL,2024070100,2024,7,1,11,-57,
BERYL,2024070106,2024,7,1,12,-59,
BERYL,2024070112,2024,7,1,12,-61,
BERYL,2024070118,2024,7,1,13,-62,
BERYL,2024070200,2024,7,2,14,-64,
BERYL,2024070206,2024,7,2,14,-66,
BERYL,2024070212,2024,7,2,18,-66,puerto Rico 
BERYL,2024070218,2024,7,2,16,-70,
BERYL,2024070300,2024,7,3,16,-72,
BERYL,2024070306,2024,7,3,16,-74,
BERYL,2024070312,2024,7,3,17,-75,
BERYL,2024070318,2024,7,3,17,-77,
BERYL,2024070400,2024,7,4,18,-78,
BERYL,2024070406,2024,7,4,18,-80,
BERYL,2024070412,2024,7,4,19,-82,
BERYL,2024070418,2024,7,4,19,-83,
BERYL,2024070500,2024,7,5,19,-85,
BERYL,2024070506,2024,7,5,20,-86,
BERYL,2024070511,2024,7,5,20,-87,
BERYL,2024070512,2024,7,5,20,-88,
BERYL,2024070518,2024,7,5,21,-89,
BERYL,2024070600,2024,7,6,21,-90,
BERYL,2024070606,2024,7,6,22,-91,
BERYL,2024070612,2024,7,6,23,-92,
BERYL,2024070618,2024,7,6,24,-93,
BERYL,2024070700,2024,7,7,24,-94,
BERYL,2024070706,2024,7,7,25,-94,
BERYL,2024070712,2024,7,7,26,-95,
BERYL,2024070718,2024,7,7,26,-95,
BERYL,2024070800,2024,7,8,27,-96,
BERYL,2024070806,2024,7,8,28,-96,
BERYL,2024070812,2024,7,8,29,-96,
BERYL,2024070818,2024,7,8,31,-92,louisiana
BERYL,2024070900,2024,7,9,32,-95,
BERYL,2024070906,2024,7,9,34.7,-95,Oklahoma
BERYL,2024070912,2024,7,9,35,-92,
BERYL,2024070918,2024,7,9,37,-90,
BERYL,2024070918,2024,7,9,39,-89,Illinois
BERYL,2024071000,2024,7,10,39,-87,
BERYL,2024071006,2024,7,10,41,-79,pennsilvania
BERYL,2024071012,2024,7,10,42,-85,
BERYL,2024071012,2024,7,10,41.59113,-83.53985,Ohio
BERYL,2024071018,2024,7,10,42,-83,
BERYL,2024071100,2024,7,11,43,-81,
BERYL,2024071106,2024,7,11,43,-80,
BERYL,2024071112,2024,7,11,43,-79,
