STORMNAME,DTG,LAT,LON,,,
NINE,2024092312,17,-82,null,,
NINE,2024092318,18,-82,null,,
NINE,2024092400,18,-82,null,,
NINE,2024092406,19,-83,null,,
HELENE,2024092412,19,-84,null,,
HELENE,2024092418,19,-85,null,,
HELENE,2024092500,20,-85,null,,
HELENE,2024092506,20,-86,null,,
HELENE,2024092512,21,-86,null,,
HELENE,2024092518,22,-86,null,,
HELENE,2024092600,23,-87,null,,
HELENE,2024092606,24,-86,null,,
HELENE,2024092612,25,-86,null,,
HELENE,2024092618,27,-85,null,,
HELENE,2024092700,29,-84,null,,
HELENE,2024092704,30.3,-83.63,Florida,,
HELENE,2024092706,31,-83,Georgia,,
HELENE,2024092706,31.45537,-85.389,Alabama,,
HELENE,2024092709,33,-83,Georgia,,
HELENE,2024092712,34.73,-82.69,South Carolina,,
HELENE,2024092712,35.88,-82.15,North Carolina ,,
HELENE,2024092712,36.38,-82.45,Tennessee,,
HELENE,2024092712,37.07,-81.65,Virginia,,
HELENE,2024092712,37.59,-82.3,Kentucky,,
HELENE,2024092712,38.7,-82.24,West Virginia,,
HELENE,2024092712,39.05,-83.14,Ohio,,
HELENE,2024092712,38.6,-85.9,Indiana,,
HELENE,2024092713,35.33,-83,Kentucky,,
HELENE,2024092818,37,-87,Kentucky,,
