STORMNAME,DTG,YEAR,MONTH,DAY,HHMM,MSLP,BASIN,STORMNUM,STORMTYPE,INTENSITY,SS,LAT,LON
SIX,2024090818,2024,"09",8,"1800",1003,al,6,LO,45,0,21,-94
SIX,2024090900,2024,"09",9,"0000",1003,al,6,LO,45,0,22,-95
SIX,2024090906,2024,"09",9,"0600",1003,al,6,LO,45,0,23,-95
FRANCINE,2024090912,2024,"09",9,"1200",1002,al,6,TS,45,0,23,-96
FRANCINE,2024090918,2024,"09",9,"1800",996,al,6,TS,50,0,24,-96
FRANCINE,2024091000,2024,"09",10,"0000",992,al,6,TS,55,0,24,-96
FRANCINE,2024091006,2024,"09",10,"0600",992,al,6,TS,55,0,24,-96
FRANCINE,2024091012,2024,"09",10,"1200",990,al,6,TS,55,0,24,-96
FRANCINE,2024091018,2024,"09",10,"1800",987,al,6,TS,55,0,25,-95
FRANCINE,2024091100,2024,"09",11,"0000",982,al,6,HU,65,1,26,-95
FRANCINE,2024091106,2024,"09",11,"0600",977,al,6,HU,80,1,27,-94
FRANCINE,2024091112,2024,"09",11,"1200",976,al,6,HU,80,1,28,-93
FRANCINE,2024091118,2024,"09",11,"1800",974,al,6,HU,85,2,29,-92
FRANCINE,2024091122,2024,"09",11,"2200",972,al,6,HU,90,2,29,-91
FRANCINE,2024091200,2024,"09",12,"0000",980,al,6,HU,70,1,30,-91
FRANCINE,2024091206,2024,"09",12,"0600",988,al,6,TS,45,0,30,-90
FRANCINE,2024091212,2024,"09",12,"1200",995,al,6,TD,30,0,32,-90
FRANCINE,2024091218,2024,"09",12,"1800",996,al,6,EX,25,0,33,-90
FRANCINE,2024091300,2024,"09",13,"0000",998,al,6,EX,25,0,35,-90
FRANCINE,2024091306,2024,"09",13,"0600",1001,al,6,EX,20,0,35,-91
FRANCINE,2024091312,2024,"09",13,"1200",1005,al,6,EX,15,0,36,-92
FRANCINE,2024091318,2024,"09",13,"1800",1009,al,6,EX,15,0,36,-92
FRANCINE,2024091400,2024,"09",14,"0000",1009,al,6,EX,15,0,35,-92
